Taxon,Group,Further_grouping,Mass type,"Equation M[mg], L[mm]",a,b,Min (mm),Max (mm),Reference,Details of body length measurement,Regression_specificity
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Blattodea,Blattidae,,Dry mass,M = exp(a + b * log(L)),-3.98,2.76,2.2,14,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Blattodea"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Blattodea,Unidentifiable,,Dry mass,M = exp(a + b * log(L)),-3.98,2.76,2.2,14,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred, Blattodea"
,,,,,,,,,,ovipositors) or tip of elytra (longest),
Chilopoda,Ballophilidae,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Cryptopidae,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Henicopidae,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Lithobiomorpha,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Mecistocephalidae,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Scolopendridae,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Chilopoda,Unidentifiable,,Dry mass,M = exp(a + b * log(L)),-4.049,2.18,4,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Chilopoda"
Coleoptera,Anobiidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Anthicidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Bostrichidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Byrrhidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Carabidae,,Dry mass,M = a * L^b,0.0237,2.7054,2.88,24,"(Lang, Krooss & Stumpf, 1997)",Measured from anterior tip of head to posterior of,Group specific
,,,,,,,,,,abdomen excluding any appendages,
Coleoptera,Cerylonidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Chelonariidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Chrysomelidae,,Dry mass,M = exp(a + b * log(L)),-2.427,2.171,3.34,7.84,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,Group specific
,,,,,,,,,,appendages,
Coleoptera,Ciidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Cleridae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Coccinellidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Colydiidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Curculionidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Dermestidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Discolomidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
Coleoptera,Elateridae,,Dry mass,M = a * L^b,0.0138,2.595,1.65,10.3,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, slender"
,,,,,,,,,,any appendages,beetles
Coleoptera,Endomychidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Histeridae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Hydrophilidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Languriidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Larvae,,Dry mass,M = a * L^b,0.0035,2.4033,1.5,25.27,"(Lang, Krooss, & Stumpf, 1997)",Measured from anterior tip of head to posterior of,"inferred, Coleoptera"
,,,,,,,,,,abdomen excluding any appendages,
Coleoptera,Leiodidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Lucanidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Melyridae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Mordellidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Mycetophagidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Pselaphidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Ptiliidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Scarabaeidae,,Dry mass,M = exp(a + b * log(L)),-2.448,2.494,4.24,24.79,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,Group specific
,,,,,,,,,,appendages,
Coleoptera,Scydmaenidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Silvanidae,,Dry mass,M = a * L^b,0.0138,2.595,1.65,10.3,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, slender"
,,,,,,,,,,any appendages,beetles
Coleoptera,Staphylinidae,,Dry mass,M = a * L^b,0.0134,2.26,2.2,13.6,"(Lang, Krooss, & Stumpf, 1997)",Measured from anterior tip of head to posterior of,Group specific
,,,,,,,,,,abdomen excluding any appendages,
Coleoptera,Tenebrionidae,,Dry mass,M = exp(a + b * log(L)),-0.043,1.2,5.65,13.39,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,Group specific
,,,,,,,,,,appendages,
Coleoptera,Throscidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Trogossitidae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Unidentifiable,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Coleoptera,Zopheridae,,Dry mass,M = exp(a + b * log(L)),-3.247,2.492,3.34,34.82,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, Coleoptera"
,,,,,,,,,,appendages,
Dermaptera,Anisolabididae,,Dry mass,M = exp(a + b * log(L)),-3.628,2.494,2.13,54.51,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, all insect"
,,,,,,,,,,appendages,taxa
Dermaptera,Forficulidae,,Dry mass,M = exp(a + b * log(L)),-3.628,2.494,2.13,54.51,"(Sample, Cooper, Greer, & Whitmore, 1993)",From frons to tip of abdomen excluding,"inferred, all insect"
,,,,,,,,,,appendages,taxa
Diplopoda,Chordeumatida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Glomerida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Polidesmatidae,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Polydesmatida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Polydesmida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Polydesmidae,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Polyxenida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Siphonophorida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplopoda,Spirobolida,,Dry mass,M = exp(a + b * log(L)),-4.591,2.543,11,47,"(Gowing & Recher, 1984)",not mentioned,"inferred, Diplopoda"
Diplura,Heterojapygidae,,Dry mass,M = a * (L)^b,0.034,2.191,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, general"
,,,,,,,,,,any appendages,arthropod
Diptera,Larvae,,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Adults,,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Agromyzidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Cecidomyiidae,A / L,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Diptera,Ceratopogonidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Chironomidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
Diptera,Drosophilidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Muscidae,Adult,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Mycetophilidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Phoridae,Adult,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Pipunculidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Sciaridae,Adult,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Simuliidae,Adult,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Syrphidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Tachinidae,Adult,Dry mass,M = a * (L)^b,0.0153,2.573,1.75,8.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","Group specific,"
,,,,,,,,,,any appendages,Diptera adult
Diptera,Tephritidae,Larvae,Dry mass,M = a * (L)^b,0.029,1.73,1.7,16.65,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, holomet."
,,,,,,,,,,any appendages,Larvae
Diptera,Thaumaleidae,A / L,Dry mass,M = a * (L)^b,0.035,2.173,0.9,17.6,"(Gruner, 2003)","tip of abdomen to end of head or carapace, excl.","inferred, all insect"
,,,,,,,,,,any appendages,taxa
Gastropoda,All,,Dry mass,M = exp(a + b * log(L*W)),-2.75,1.59,2.1,18,"(Wardhaugh, 2013)",front of labrum to tip of abdomen (excl. cerci or,"inferred,"
,,,,,,,,,,ovipositors) or tip of elytra (longest),Gastropoda
